Activity,Actividad,
ISO Compliance Checklist,Lista de Verificación de Cumplimiento ISO,
Asset Component,Componente de Activo,
Maintenance Procedure Step,Paso de Procedimiento de Mantenimiento,
Maintenance Contractor,Contratista de Mantenimiento,
Downtime Record,Registro de Tiempo de Inactividad,
Maintenance Spare Part,Repuesto de Mantenimiento,
Asset Component Characteristic,Característica de Componente de Activo,
Contractor Routine Link,Enlace de Rutina de Contratista,
Activity Predecessor,Predecesor de Actividad,
Insumo Price Scenario,Escenario de Precio de Insumo,
Insumo Price Scenario Item,Elemento de Escenario de Precio de Insumo,
Spare Part Asset Link,Enlace de Repuesto con Activo,
Budget Change Order Item,Elemento de Orden de Cambio de Presupuesto,
Material Distribution,Distribución de Material,
Spare Parts Catalog,Catálogo de Repuestos,
Budget Change Order,Orden de Cambio de Presupuesto,
Project Invoice Item,Elemento de Factura de Proyecto,
Insumo,Insumo,
Project Invoice,Factura de Proyecto,
Subcontract Activity,Actividad de Subcontrato,
Material Distribution Item,Elemento de Distribución de Material,
Deposit Entry Item,Elemento de Registro de Depósito,
Payroll Cost Distribution Item,Elemento de Distribución de Costos de Nómina,
Traceability Batch Item,Elemento de Lote de Trazabilidad,
Vacation Policy Rule,Regla de Política de Vacaciones,
Accounts,Cuentas,DocType Field
Active,Activo,DocType Field
Active Routines,Rutinas Activas,DocType Field
Activities,Actividades,DocType Field
Activity Name,Nombre de Actividad,DocType Field
Adjustment %,% de Ajuste,DocType Field
Adjustment Amount,Monto de Ajuste,DocType Field
Advance Amount,Monto de Anticipo,DocType Field
Advancement Basis,Base de Avance,DocType Field
Amended From,Modificado Desde,DocType Field
Amount Field,Campo de Monto,DocType Field
Application,Aplicación,DocType Field
Applied Amount,Monto Aplicado,DocType Field
Approval,Aprobación,DocType Field
Approved By,Aprobado Por,DocType Field
Assigned To,Asignado A,DocType Field
Audit Date,Fecha de Auditoría,DocType Field
Audit Entry Reference,Referencia de Entrada de Auditoría,DocType Field
Audit Schedule,Cronograma de Auditoría,DocType Field
Authorization,Autorización,DocType Field
Authorization Date,Fecha de Autorización,DocType Field
Authorized %,% Autorizado,DocType Field
Authorized By,Autorizado Por,DocType Field
Balance,Saldo,DocType Field
Bank Account,Cuenta Bancaria,DocType Field
Bank Reference,Referencia Bancaria,DocType Field
Base Rate,Tasa Base,DocType Field
Base Unit,Unidad Base,DocType Field
Batch No,No. de Lote,DocType Field
Benchmark Value,Valor de Referencia,DocType Field
Beneficiary,Beneficiario,DocType Field
Beneficiary Account,Cuenta del Beneficiario,DocType Field
BOM,Lista de Materiales,DocType Field
Bonus Percentage,Porcentaje de Bonificación,DocType Field
Budget Level Code,Código de Nivel de Presupuesto,DocType Field
Budget Levels,Niveles de Presupuesto,DocType Field
Budget Name,Nombre del Presupuesto,DocType Field
Budget Status,Estado del Presupuesto,DocType Field
Calculation,Cálculo,DocType Field
Can Authorize Advancement,Puede Autorizar Avance,DocType Field
Cancellation,Cancelación,DocType Field
Cancel Reason,Motivo de Cancelación,DocType Field
Carryover Allowed,Arrastre Permitido,DocType Field
Cause,Causa,DocType Field
Center Line,Línea Central,DocType Field
Changed By,Modificado Por,DocType Field
Change Items,Elementos de Cambio,DocType Field
Change Timestamp,Marca de Tiempo de Cambio,DocType Field
Characteristic Name,Nombre de Característica,DocType Field
Characteristics,Características,DocType Field
Characteristic Value,Valor de Característica,DocType Field
Chart Name,Nombre del Gráfico,DocType Field
Checklist Name,Nombre de Lista de Verificación,DocType Field
Check Number,Número de Cheque,DocType Field
Check Request,Solicitud de Cheque,DocType Field
Check Requests,Solicitudes de Cheque,DocType Field
Clause,Cláusula,DocType Field
Compatible Assets,Activos Compatibles,DocType Field
Compliance Status,Estado de Cumplimiento,DocType Field
Component Name,Nombre del Componente,DocType Field
Component Type,Tipo de Componente,DocType Field
Computed Value,Valor Calculado,DocType Field
Containment Action,Acción de Contención,DocType Field
Contract Status,Estado del Contrato,DocType Field
Contract Terms,Términos del Contrato,DocType Field
Control Limits,Límites de Control,DocType Field
Corrective Action,Acción Correctiva,DocType Field
Cost Impact,Impacto de Costo,DocType Field
Country,País,DocType Field
Credit Account,Cuenta de Crédito,DocType Field
Criticality,Criticidad,DocType Field
Currency,Moneda,DocType Field
Current Price,Precio Actual,DocType Field
Current Salary,Salario Actual,DocType Field
Data Points,Puntos de Datos,DocType Field
Date Range End,Fecha de Fin de Rango,DocType Field
Date Range Start,Fecha de Inicio de Rango,DocType Field
Days After Due (1st),Días Después del Vencimiento (1ro),DocType Field
Days After Due (2nd),Días Después del Vencimiento (2do),DocType Field
Days After Due (3rd),Días Después del Vencimiento (3ro),DocType Field
Days Before Due,Días Antes del Vencimiento,DocType Field
Debit Account,Cuenta de Débito,DocType Field
Deduction Start Date,Fecha de Inicio de Deducción,DocType Field
Delay Days,Días de Retraso,DocType Field
Delay Hours,Horas de Retraso,DocType Field
Delivered To,Entregado A,DocType Field
Delivery Date,Fecha de Entrega,DocType Field
Deposit Date,Fecha de Depósito,DocType Field
Deposit Items,Elementos del Depósito,DocType Field
Description,Descripción,DocType Field
Details,Detalles,DocType Field
Detection Method,Método de Detección,DocType Field
Detection Rating,Calificación de Detección,DocType Field
Distribution Items,Elementos de Distribución,DocType Field
DocType Filter,Filtro de DocType,DocType Field
Document Access Level,Nivel de Acceso al Documento,DocType Field
Document Type,Tipo de Documento,DocType Field
Downtime,Tiempo de Inactividad,DocType Field
Downtime End,Fin del Tiempo de Inactividad,DocType Field
Downtime Hours,Horas de Inactividad,DocType Field
Downtime Start,Inicio del Tiempo de Inactividad,DocType Field
Duration (Hours),Duración (Horas),DocType Field
Effective Date,Fecha Efectiva,DocType Field
Effectiveness Verification,Verificación de Efectividad,DocType Field
Email Template (After Due),Plantilla de Correo (Después del Vencimiento),DocType Field
Email Template (Before Due),Plantilla de Correo (Antes del Vencimiento),DocType Field
Email Templates,Plantillas de Correo,DocType Field
End Datetime,Fecha y Hora de Fin,DocType Field
Entered By,Ingresado Por,DocType Field
Estimated Cost Impact,Impacto de Costo Estimado,DocType Field
Estimated Duration (Hours),Duración Estimada (Horas),DocType Field
Estimated Minutes,Minutos Estimados,DocType Field
Estimated Qty,Cantidad Estimada,DocType Field
Estimated Unit Cost,Costo Unitario Estimado,DocType Field
Evidence,Evidencia,DocType Field
Evidence Document,Documento de Evidencia,DocType Field
Export Date,Fecha de Exportación,DocType Field
Export Details,Detalles de Exportación,DocType Field
Exported By,Exportado Por,DocType Field
Exported File,Archivo Exportado,DocType Field
Export Format,Formato de Exportación,DocType Field
Failure Date,Fecha de Falla,DocType Field
Failure Description,Descripción de Falla,DocType Field
Failure Effect,Efecto de Falla,DocType Field
Failure Mode Name,Nombre del Modo de Falla,DocType Field
Family,Familia,DocType Field
Field Name,Nombre del Campo,DocType Field
File Attachment,Archivo Adjunto,DocType Field
File Type,Tipo de Archivo,DocType Field
FMEA Ratings (1-10),Calificaciones AMEF (1-10),DocType Field
Formula,Fórmula,DocType Field
Freeze Details,Detalles de Congelamiento,DocType Field
Frequency,Frecuencia,DocType Field
Frequency Type,Tipo de Frecuencia,DocType Field
Frozen By,Congelado Por,DocType Field
Frozen Date,Fecha de Congelamiento,DocType Field
Government Entity,Entidad Gubernamental,DocType Field
Group Name,Nombre del Grupo,DocType Field
Hourly Rate,Tarifa por Hora,DocType Field
In Control,Bajo Control,DocType Field
Input Batches,Lotes de Entrada,DocType Field
Installment Amount,Monto de Cuota,DocType Field
Installments Remaining,Cuotas Restantes,DocType Field
Insumo Name,Nombre del Insumo,DocType Field
Insumo Type,Tipo de Insumo,DocType Field
Interest Rate,Tasa de Interés,DocType Field
Invoice Amount,Monto de Factura,DocType Field
Invoice Date,Fecha de Factura,DocType Field
IP Address,Dirección IP,DocType Field
Items,Elementos,DocType Field
Last Performed,Última Realización,DocType Field
Loan Amount,Monto del Préstamo,DocType Field
Lower Control Limit,Límite de Control Inferior,DocType Field
Maintenance Log,Registro de Mantenimiento,DocType Field
Max Carryover Days,Días Máximos de Arrastre,DocType Field
Measured Value,Valor Medido,DocType Field
Measurement Type,Tipo de Medición,DocType Field
Metadata,Metadatos,DocType Field
Methodology,Metodología,DocType Field
Minimum Stock,Stock Mínimo,DocType Field
Movement Type,Tipo de Movimiento,DocType Field
Naming Series,Serie de Nombres,DocType Field
New Value,Nuevo Valor,DocType Field
Next Due,Próximo Vencimiento,DocType Field
Next Review,Próxima Revisión,DocType Field
Notes,Notas,DocType Field
Occurrence Probability,Probabilidad de Ocurrencia,DocType Field
Old Value,Valor Anterior,DocType Field
Operation,Operación,DocType Field
Operator,Operador,DocType Field
Operator & Timing,Operador y Tiempo,DocType Field
Overtime Date,Fecha de Hora Extra,DocType Field
Overtime Type,Tipo de Hora Extra,DocType Field
Parameter Name,Nombre del Parámetro,DocType Field
Parameter Value,Valor del Parámetro,DocType Field
Parent Asset,Activo Padre,DocType Field
Parent Component,Componente Padre,DocType Field
Parent Level,Nivel Padre,DocType Field
Payment Date,Fecha de Pago,DocType Field
Payment Details,Detalles de Pago,DocType Field
Payment Entry,Entrada de Pago,DocType Field
Payment Reference,Referencia de Pago,DocType Field
Payment Term,Plazo de Pago,DocType Field
Payment Type,Tipo de Pago,DocType Field
Percentage,Porcentaje,DocType Field
Performed By,Realizado Por,DocType Field
Period,Período,DocType Field
Period End,Fin del Período,DocType Field
Period Start,Inicio del Período,DocType Field
Permanent Action,Acción Permanente,DocType Field
Permanent Corrective Action,Acción Correctiva Permanente,DocType Field
Permission Level,Nivel de Permiso,DocType Field
Physical Advancement %,% de Avance Físico,DocType Field
Policy Name,Nombre de Política,DocType Field
Predecessor Activity,Actividad Predecesora,DocType Field
Predecessors,Predecesores,DocType Field
Preventive Recommendation,Recomendación Preventiva,DocType Field
Prices,Precios,DocType Field
Print Date,Fecha de Impresión,DocType Field
Print & Delivery,Impresión y Entrega,DocType Field
Printed By,Impreso Por,DocType Field
Priority,Prioridad,DocType Field
Problem Statement,Planteamiento del Problema,DocType Field
Procedure Steps,Pasos del Procedimiento,DocType Field
Process,Proceso,DocType Field
Process End,Fin del Proceso,DocType Field
Process Name,Nombre del Proceso,DocType Field
Process Parameters,Parámetros del Proceso,DocType Field
Process Start,Inicio del Proceso,DocType Field
Production Impact,Impacto en Producción,DocType Field
Project Name,Nombre del Proyecto,DocType Field
Projects,Proyectos,DocType Field
Proportional Deduction %,% de Deducción Proporcional,DocType Field
Proposed Salary,Salario Propuesto,DocType Field
Purchase Invoice,Factura de Compra,DocType Field
Quality Action,Acción de Calidad,DocType Field
Rate Multiplier,Multiplicador de Tasa,DocType Field
Ratio Category,Categoría de Razón,DocType Field
Ratio Name,Nombre de Razón,DocType Field
Real Qty,Cantidad Real,DocType Field
Real Unit Cost,Costo Unitario Real,DocType Field
Reason,Motivo,DocType Field
Received Date,Fecha de Recepción,DocType Field
Record Count,Conteo de Registros,DocType Field
Recurrence,Recurrencia,DocType Field
Reference Number,Número de Referencia,DocType Field
References,Referencias,DocType Field
Relationship Type,Tipo de Relación,DocType Field
Remaining Balance,Saldo Restante,DocType Field
Reorder Level,Nivel de Reorden,DocType Field
Request Details,Detalles de Solicitud,DocType Field
Required Spare Parts,Repuestos Requeridos,DocType Field
Requirement,Requisito,DocType Field
Responsible Person,Persona Responsable,DocType Field
Revenue Items,Elementos de Ingreso,DocType Field
Role,Rol,DocType Field
Roles,Roles,DocType Field
Root Cause,Causa Raíz,DocType Field
Root Cause Analysis,Análisis de Causa Raíz,DocType Field
Routine Name,Nombre de Rutina,DocType Field
Routine Type,Tipo de Rutina,DocType Field
Rule Name,Nombre de Regla,DocType Field
Rules,Reglas,DocType Field
Safety Precaution,Precaución de Seguridad,DocType Field
Salary Slip,Recibo de Salario,DocType Field
Sales Invoice,Factura de Venta,DocType Field
Sample Date,Fecha de Muestra,DocType Field
Sample Number,Número de Muestra,DocType Field
Sample Size,Tamaño de Muestra,DocType Field
Scenario Name,Nombre de Escenario,DocType Field
Scenario Price,Precio de Escenario,DocType Field
Schedule,Cronograma,DocType Field
Schedule Name,Nombre del Cronograma,DocType Field
Scope DocType,DocType de Ámbito,DocType Field
Scope Name,Nombre del Ámbito,DocType Field
Scope Type,Tipo de Ámbito,DocType Field
Serial No,No. de Serie,DocType Field
Session ID,ID de Sesión,DocType Field
Source DocType,DocType de Origen,DocType Field
Source Document,Documento de Origen,DocType Field
Source Reference,Referencia de Origen,DocType Field
Source Type,Tipo de Origen,DocType Field
Specialization,Especialización,DocType Field
Specific Fields,Campos Específicos,DocType Field
Standard,Estándar,DocType Field
Start Datetime,Fecha y Hora de Inicio,DocType Field
Step Number,Número de Paso,DocType Field
Stock Entry,Entrada de Inventario,DocType Field
Subfamily,Subfamilia,DocType Field
Supplier Name,Nombre del Proveedor,DocType Field
Supplier,Proveedor,DocType Field
Target DocType,DocType de Destino,DocType Field
Target Name,Nombre de Destino,DocType Field
Target Type,Tipo de Destino,DocType Field
Terms,Términos,DocType Field
Terms & Conditions,Términos y Condiciones,DocType Field
Timing,Tiempo,DocType Field
Title,Título,DocType Field
Total Change Amount,Monto Total de Cambio,DocType Field
Total Deducted,Total Deducido,DocType Field
Total Estimated Amount,Monto Total Estimado,DocType Field
Total Invoice Amount,Monto Total de Factura,DocType Field
Total Withheld,Total Retenido,DocType Field
Track All Fields,Rastrear Todos los Campos,DocType Field
Tracked DocType,DocType Rastreado,DocType Field
Tracked Name,Nombre Rastreado,DocType Field
Trigger DocType,DocType de Activación,DocType Field
Trigger Event,Evento de Activación,DocType Field
Unit,Unidad,DocType Field
Unit Equivalence,Equivalencia de Unidad,DocType Field
Upload Date,Fecha de Carga,DocType Field
Uploaded By,Cargado Por,DocType Field
Upper Control Limit,Límite de Control Superior,DocType Field
User,Usuario,DocType Field
User Filter,Filtro de Usuario,DocType Field
User Full Name,Nombre Completo del Usuario,DocType Field
Vacation Days Entitled,Días de Vacaciones Correspondientes,DocType Field
Variance Amount,Monto de Variación,DocType Field
Withholding Type,Tipo de Retención,DocType Field
Within Spec,Dentro de Especificación,DocType Field
Work Order,Orden de Trabajo,DocType Field
Years of Service (End),Años de Servicio (Fin),DocType Field
Years of Service (Start),Años de Servicio (Inicio),DocType Field
Activated By,Activado Por,DocType Field
Activated Date,Fecha de Activación,DocType Field
Activation Details,Detalles de Activación,DocType Field
Action Timestamp,Marca de Tiempo de Acción,DocType Field
ISR Retention,Retención ISR,SV Tax
IVA Retention 1%,Retención IVA 1%,SV Tax
Gran Contribuyente,Gran Contribuyente,SV Tax
Mediano Contribuyente,Mediano Contribuyente,SV Tax
Pequeño Contribuyente,Pequeño Contribuyente,SV Tax
ISSS Laboral,ISSS Laboral,SV Payroll
ISSS Patronal,ISSS Patronal,SV Payroll
AFP Laboral,AFP Laboral,SV Payroll
AFP Patronal,AFP Patronal,SV Payroll
Aguinaldo,Aguinaldo,SV Payroll
ISR Renta,ISR Renta,SV Payroll
CCF,CCF,SV Invoice Type
Consumidor Final,Consumidor Final,SV Invoice Type
Nota de Crédito,Nota de Crédito,SV Invoice Type
Nota de Débito,Nota de Débito,SV Invoice Type
Exportación,Exportación,SV Invoice Type
NIT,NIT,SV Document
NRC,NRC,SV Document
DUI,DUI,SV Document
ISSS Number,Número de ISSS,SV Document
AFP Number,Número de AFP,SV Document
AFP Provider,Proveedor de AFP,SV Payroll
AFP Confía,AFP Confía,SV Payroll
AFP Crecer,AFP Crecer,SV Payroll
Taxpayer Type,Tipo de Contribuyente,SV Tax
Invoice Type,Tipo de Factura,SV Tax
Authorization Number,Número de Autorización,SV Tax
IVA Credit Account,Cuenta de IVA Crédito,SV Tax
IVA Debit Account,Cuenta de IVA Débito,SV Tax
Large Taxpayer,Gran Contribuyente,SV Tax
ISR withholding on services from individuals,Retención ISR sobre servicios de personas naturales,SV Tax
IVA advance retention for non-gran-contribuyente purchases,Retención anticipada de IVA para compras de no gran contribuyente,SV Tax
Daytime Overtime,Hora Extra Diurna,SV Payroll
Nighttime Overtime,Hora Extra Nocturna,SV Payroll
"El Salvador vacation: 15 days after 1 year, with 30% bonus","Vacaciones El Salvador: 15 días después de 1 año, con 30% de bonificación",SV Payroll
Aguinaldo calculation based on tenure,Cálculo de Aguinaldo basado en antigüedad,SV Payroll
ISSS salary ceiling,Techo salarial ISSS,SV Payroll
Setup El Salvador taxes for {0},Configurar impuestos de El Salvador para {0},SV Setup
Setup El Salvador payroll for {0},Configurar nómina de El Salvador para {0},SV Setup
Pending,Pendiente,
Cancelled,Cancelado,
Authorized,Autorizado,
Withholding Tax Account,Cuenta de Retención de Impuestos,DocType Field
Total Real Cost,Costo Real Total,Report
Budget Consumed %,% de Presupuesto Consumido,Report
Billing %,% de Facturación,Report
Labor Cost,Costo de Mano de Obra,Report
Downtime,Tiempo de Inactividad,Report
Equipment Usage,Uso de Equipo,Report
Material,Material,Report
Quantity,Cantidad,Report
